Timestamp,Email Address,First & Last Name,"Excel-erate is an adult program. Are you at least 18 years of age, or will you be supervised by an adult?",What is your Do Space Membership Number?,I commit to attending the meetups at the required dates and times detailed above.,I have access to the following technology:,I agree to all of the following:,Zip Code,What is your race/ethnicity,What is your gender?,What is the highest level of education you have completed?,Which category best describes the industry you primarily work in.,What is your household income range?,Why do you want to improve your Microsoft Excel skills?,How will increasing your proficiency with Microsoft Excel assist you in your long-term career goals?,How have you used Microsoft Excel in the past?
,clark.kent@example.com,Clark Kent,Yes,,Yes,"Computer, Internet, A second monitor or the ability to split-screen or toggle between multiple programs (Zoom and Excel)","Abide by Do Space's Behavioral policy & code of conduct, Attend each meetup during my session on Tuesdays from 11:00am-1:00pm, Complete all necessary work between each session, Be an attentive and engaged participant",,Asian,Female,Bachelor's Degree,,"Less than $20,000",,,
,diana.prince@example.com,Diana Prince,Yes,,Yes,"Computer, Internet, Microsoft Excel 2016 or above, A second monitor or the ability to split-screen or toggle between multiple programs (Zoom and Excel)","Abide by Do Space's Behavioral policy & code of conduct, Attend each meetup during my session on Tuesdays from 11:00am-1:00pm, Complete all necessary work between each session, Be an attentive and engaged participant",,"Black, non-Hispanic",Female,Some College but no degree,,"$20,000 to $34,999",,,
,barry.allen@example.com,Barry Allen,Yes,,Yes,"Computer, Internet, A second monitor or the ability to split-screen or toggle between multiple programs (Zoom and Excel)",Attend each meetup during my session on Tuesdays from 11:00am-1:00pm,,Asian,Female,Some College but no degree,,"Less than $20,000",,,
,oliver.queen@example.com,Oliver Queen,Yes,,Yes,"Computer, Internet, Microsoft Excel 2016 or above, A second monitor or the ability to split-screen or toggle between multiple programs (Zoom and Excel)","Abide by Do Space's Behavioral policy & code of conduct, Attend each meetup during my session on Tuesdays from 11:00am-1:00pm, Complete all necessary work between each session, Be an attentive and engaged participant",,"Black, non-Hispanic",Female,Master's Degree,,"Over $100,000",,,
,jon.snow@example.com,Jon Snow,Yes,,Yes,"Computer, Internet, Microsoft Excel 2016 or above, A second monitor or the ability to split-screen or toggle between multiple programs (Zoom and Excel)","Abide by Do Space's Behavioral policy & code of conduct, Attend each meetup during my session on Tuesdays from 11:00am-1:00pm, Complete all necessary work between each session, Be an attentive and engaged participant",,"White, non-Hispanic",Female,Master's Degree,,"$20,000 to $34,999",,,
,daenerys.targaryen@example.com,Daenerys Targaryen,Yes,,Yes,"Computer, Internet, Microsoft Excel 2016 or above, A second monitor or the ability to split-screen or toggle between multiple programs (Zoom and Excel)","Abide by Do Space's Behavioral policy & code of conduct, Attend each meetup during my session on Tuesdays from 11:00am-1:00pm, Complete all necessary work between each session, Be an attentive and engaged participant",,"White, non-Hispanic",Female,Some College but no degree,,"$75,000 to $99,999",,,
,tyrion.lannister@example.com,Tyrion Lannister,Yes,,Yes,"Computer, Internet, Microsoft Excel 2016 or above, A second monitor or the ability to split-screen or toggle between multiple programs (Zoom and Excel)","Abide by Do Space's Behavioral policy & code of conduct, Attend each meetup during my session on Tuesdays from 11:00am-1:00pm, Complete all necessary work between each session, Be an attentive and engaged participant",,"White, non-Hispanic",Male,Bachelor's Degree,,"Over $100,000",,,
,arya.stark@example.com,Arya Stark,Yes,,Yes,"Computer, Internet, Microsoft Excel 2016 or above","Abide by Do Space's Behavioral policy & code of conduct, Attend each meetup during my session on Tuesdays from 11:00am-1:00pm, Complete all necessary work between each session, Be an attentive and engaged participant",,"White, non-Hispanic",Female,Master's Degree,,"$50,000 to $74,999",,,
,sansa.stark@example.com,Sansa Stark,Yes,,Yes,"Computer, Internet, Microsoft Excel 2016 or above","Abide by Do Space's Behavioral policy & code of conduct, Attend each meetup during my session on Tuesdays from 11:00am-1:00pm, Complete all necessary work between each session, Be an attentive and engaged participant",,"White, non-Hispanic",Female,Master's Degree,,,,,
,cersei.lannister@example.com,Cersei Lannister,Yes,,Yes,"Computer, Internet, Microsoft Excel 2016 or above, A second monitor or the ability to split-screen or toggle between multiple programs (Zoom and Excel)","Abide by Do Space's Behavioral policy & code of conduct, Attend each meetup during my session on Tuesdays from 11:00am-1:00pm, Complete all necessary work between each session, Be an attentive and engaged participant",,"White, non-Hispanic",Female,Some College but no degree,,"$50,000 to $74,999",,,
,jaime.lannister@example.com,Jaime Lannister,Yes,,Yes,"Computer, Internet, Microsoft Excel 2016 or above, A second monitor or the ability to split-screen or toggle between multiple programs (Zoom and Excel)","Abide by Do Space's Behavioral policy & code of conduct, Attend each meetup during my session on Tuesdays from 11:00am-1:00pm, Complete all necessary work between each session, Be an attentive and engaged participant",,"White, non-Hispanic",Male,Some College but no degree,,,,,
,eddard.stark@example.com,Eddard Stark,Yes,,Yes,"Computer, Internet, Microsoft Excel 2016 or above, A second monitor or the ability to split-screen or toggle between multiple programs (Zoom and Excel)","Abide by Do Space's Behavioral policy & code of conduct, Attend each meetup during my session on Tuesdays from 11:00am-1:00pm, Complete all necessary work between each session, Be an attentive and engaged participant",,"White, non-Hispanic",Female,Master's Degree,,,,,
,robb.stark@example.com,Robb Stark,Yes,,Yes,Computer,"Abide by Do Space's Behavioral policy & code of conduct, Attend each meetup during my session on Tuesdays from 11:00am-1:00pm, Complete all necessary work between each session, Be an attentive and engaged participant",,"Black, non-Hispanic",Female,Bachelor's Degree,,"$75,000 to $99,999",,,
,michael.scott@example.com,Michael Scott,Yes,,Yes,"Computer, Microsoft Excel 2016 or above, A second monitor or the ability to split-screen or toggle between multiple programs (Zoom and Excel)","Abide by Do Space's Behavioral policy & code of conduct, Attend each meetup during my session on Tuesdays from 11:00am-1:00pm, Complete all necessary work between each session, Be an attentive and engaged participant",,"White, non-Hispanic",Female,"Professional (JD, Ed.D) or Doctorate Degree (Ph.D., PsyD.)",,"$50,000 to $74,999",,,
,jim.halpert@example.com,Jim Halpert,Yes,,Yes,"Computer, Internet, Microsoft Excel 2016 or above, A second monitor or the ability to split-screen or toggle between multiple programs (Zoom and Excel)","Abide by Do Space's Behavioral policy & code of conduct, Attend each meetup during my session on Tuesdays from 11:00am-1:00pm, Complete all necessary work between each session, Be an attentive and engaged participant",,"Black, non-Hispanic",Female,Some College but no degree,,"Less than $20,000",,,
,pam.beesly@example.com,Pam Beesly,Yes,,Yes,"Computer, Internet, Microsoft Excel 2016 or above, A second monitor or the ability to split-screen or toggle between multiple programs (Zoom and Excel)","Abide by Do Space's Behavioral policy & code of conduct, Attend each meetup during my session on Tuesdays from 11:00am-1:00pm, Complete all necessary work between each session, Be an attentive and engaged participant",,"Black, non-Hispanic",Female,Associate's Degree or Similar 2-Year College Degree,,"Less than $20,000",,,
,dwight.schrute@example.com,Dwight Schrute,Yes,,Yes,"Computer, Internet, Microsoft Excel 2016 or above, A second monitor or the ability to split-screen or toggle between multiple programs (Zoom and Excel)","Abide by Do Space's Behavioral policy & code of conduct, Attend each meetup during my session on Tuesdays from 11:00am-1:00pm, Complete all necessary work between each session, Be an attentive and engaged participant",,"White, non-Hispanic",Female,Bachelor's Degree,,"$50,000 to $74,999",,,
,angela.martin@example.com,Angela Martin,Yes,,Yes,"Computer, Internet","Abide by Do Space's Behavioral policy & code of conduct, Attend each meetup during my session on Tuesdays from 11:00am-1:00pm, Complete all necessary work between each session, Be an attentive and engaged participant",,"Black, non-Hispanic",Female,Some College but no degree,,"$20,000 to $34,999",,,
,kevin.malone@example.com,Kevin Malone,Yes,,Yes,"Computer, Internet","Abide by Do Space's Behavioral policy & code of conduct, Attend each meetup during my session on Tuesdays from 11:00am-1:00pm, Complete all necessary work between each session, Be an attentive and engaged participant",,"Black, non-Hispanic",Female,Bachelor's Degree,,"$50,000 to $74,999",,,
,oscar.martinez@example.com,Oscar Martinez,Yes,,Yes,"Computer, Internet, Microsoft Excel 2016 or above","Abide by Do Space's Behavioral policy & code of conduct, Attend each meetup during my session on Tuesdays from 11:00am-1:00pm, Complete all necessary work between each session, Be an attentive and engaged participant",,Hispanic/Latino,Female,Bachelor's Degree,,"$35,000 to $49,999",,,
,stanley.hudson@example.com,Stanley Hudson,Yes,,Yes,"Computer, Internet, Microsoft Excel 2016 or above, A second monitor or the ability to split-screen or toggle between multiple programs (Zoom and Excel)","Abide by Do Space's Behavioral policy & code of conduct, Attend each meetup during my session on Tuesdays from 11:00am-1:00pm, Complete all necessary work between each session, Be an attentive and engaged participant",,"White, non-Hispanic",Female,Some College but no degree,,"Over $100,000",,,
,phyllis.vance@example.com,Phyllis Vance,Yes,,Yes,"Computer, Internet, Microsoft Excel 2016 or above","Abide by Do Space's Behavioral policy & code of conduct, Attend each meetup during my session on Tuesdays from 11:00am-1:00pm, Complete all necessary work between each session, Be an attentive and engaged participant",,"Black, non-Hispanic",Male,Bachelor's Degree,,"Over $100,000",,,
,meredith.palmer@example.com,Meredith Palmer,Yes,,Yes,"Computer, Internet, Microsoft Excel 2016 or above","Abide by Do Space's Behavioral policy & code of conduct, Attend each meetup during my session on Tuesdays from 11:00am-1:00pm, Complete all necessary work between each session, Be an attentive and engaged participant",,Hispanic/Latino,Female,"Professional (JD, Ed.D) or Doctorate Degree (Ph.D., PsyD.)",,,,,
,rachel.green@example.com,Rachel Green,Yes,,Yes,"Computer, Internet, Microsoft Excel 2016 or above, A second monitor or the ability to split-screen or toggle between multiple programs (Zoom and Excel)","Abide by Do Space's Behavioral policy & code of conduct, Attend each meetup during my session on Tuesdays from 11:00am-1:00pm, Complete all necessary work between each session, Be an attentive and engaged participant",,,,,,,,,
,ross.geller@example.com,Ross Geller,Yes,,Yes,"Computer, Internet, A second monitor or the ability to split-screen or toggle between multiple programs (Zoom and Excel)","Abide by Do Space's Behavioral policy & code of conduct, Attend each meetup during my session on Tuesdays from 11:00am-1:00pm, Complete all necessary work between each session, Be an attentive and engaged participant",,"White, non-Hispanic",Female,Bachelor's Degree,,"Less than $20,000",,,
,monica.geller@example.com,Monica Geller,Yes,,Yes,"Computer, Internet, Microsoft Excel 2016 or above, A second monitor or the ability to split-screen or toggle between multiple programs (Zoom and Excel)","Abide by Do Space's Behavioral policy & code of conduct, Attend each meetup during my session on Tuesdays from 11:00am-1:00pm, Complete all necessary work between each session, Be an attentive and engaged participant",,"White, non-Hispanic",Female,Associate's Degree or Similar 2-Year College Degree,,"$75,000 to $99,999",,,
,chandler.bing @example.com,Chandler Bing,Yes,,Yes,"Computer, Internet, A second monitor or the ability to split-screen or toggle between multiple programs (Zoom and Excel)","Abide by Do Space's Behavioral policy & code of conduct, Attend each meetup during my session on Tuesdays from 11:00am-1:00pm, Complete all necessary work between each session, Be an attentive and engaged participant",,"White, non-Hispanic",Male,Associate's Degree or Similar 2-Year College Degree,,"$35,000 to $49,999",,,
,phoebe.buffay @example.com,Phoebe Buffay,Yes,,Yes,"Computer, Internet, Microsoft Excel 2016 or above, A second monitor or the ability to split-screen or toggle between multiple programs (Zoom and Excel)","Abide by Do Space's Behavioral policy & code of conduct, Attend each meetup during my session on Tuesdays from 11:00am-1:00pm, Complete all necessary work between each session, Be an attentive and engaged participant",,"White, non-Hispanic",Female,,,"$50,000 to $74,999",,,
,joey.tribbiani @example.com,Joey Tribbiani,Yes,,Yes,"Computer, Internet","Abide by Do Space's Behavioral policy & code of conduct, Attend each meetup during my session on Tuesdays from 11:00am-1:00pm, Complete all necessary work between each session, Be an attentive and engaged participant",,Welch/German,Female,Bachelor's Degree,,"$50,000 to $74,999",,,
,sheldon.cooper @example.com,Sheldon Cooper,Yes,,Yes,"Computer, Internet, Microsoft Excel 2016 or above, A second monitor or the ability to split-screen or toggle between multiple programs (Zoom and Excel)","Abide by Do Space's Behavioral policy & code of conduct, Attend each meetup during my session on Tuesdays from 11:00am-1:00pm, Complete all necessary work between each session, Be an attentive and engaged participant",,"White, non-Hispanic",Female,Bachelor's Degree,,"Over $100,000",,,
,leonard.hofstadter @example.com,Leonard Hofstadter,Yes,,Yes,"Computer, Internet, Microsoft Excel 2016 or above, A second monitor or the ability to split-screen or toggle between multiple programs (Zoom and Excel)","Abide by Do Space's Behavioral policy & code of conduct, Attend each meetup during my session on Tuesdays from 11:00am-1:00pm, Complete all necessary work between each session, Be an attentive and engaged participant",,"White, non-Hispanic",Female,Bachelor's Degree,,"Over $100,000",,,
,penny.hofstadter @example.com,Penny Hofstadter,Yes,,Yes,"Computer, Internet, Microsoft Excel 2016 or above, A second monitor or the ability to split-screen or toggle between multiple programs (Zoom and Excel)","Abide by Do Space's Behavioral policy & code of conduct, Attend each meetup during my session on Tuesdays from 11:00am-1:00pm, Complete all necessary work between each session, Be an attentive and engaged participant",,"White, non-Hispanic",Female,"Professional (JD, Ed.D) or Doctorate Degree (Ph.D., PsyD.)",,"$75,000 to $99,999",,,
,howard.wolowitz @example.com,Howard Wolowitz,Yes,,Yes,"Computer, Internet, Microsoft Excel 2016 or above","Abide by Do Space's Behavioral policy & code of conduct, Attend each meetup during my session on Tuesdays from 11:00am-1:00pm, Complete all necessary work between each session, Be an attentive and engaged participant",,"White, non-Hispanic",Male,High School/GED,,"$20,000 to $34,999",,,
,raj.koothrappali @example.com,Raj Koothrappali,Yes,,Yes,"Computer, Internet, Microsoft Excel 2016 or above, A second monitor or the ability to split-screen or toggle between multiple programs (Zoom and Excel)","Abide by Do Space's Behavioral policy & code of conduct, Attend each meetup during my session on Tuesdays from 11:00am-1:00pm, Complete all necessary work between each session, Be an attentive and engaged participant",,"White, non-Hispanic",Female,Some College but no degree,,"Less than $20,000",,,
,barney.stinson @example.com,Barney Stinson,Yes,,Yes,"Computer, Internet, Microsoft Excel 2016 or above, A second monitor or the ability to split-screen or toggle between multiple programs (Zoom and Excel)","Abide by Do Space's Behavioral policy & code of conduct, Attend each meetup during my session on Tuesdays from 11:00am-1:00pm, Complete all necessary work between each session, Be an attentive and engaged participant",,"Black, non-Hispanic",Female,Bachelor's Degree,,"$20,000 to $34,999",,,
,ted.mosby @example.com,Ted Mosby,Yes,,Yes,"Computer, Internet, Microsoft Excel 2016 or above, A second monitor or the ability to split-screen or toggle between multiple programs (Zoom and Excel)","Abide by Do Space's Behavioral policy & code of conduct, Attend each meetup during my session on Tuesdays from 11:00am-1:00pm, Complete all necessary work between each session, Be an attentive and engaged participant",,"White, non-Hispanic",Female,Bachelor's Degree,,"$75,000 to $99,999",,,
,robin.scherbatsky @example.com,Robin Scherbatsky,Yes,,Yes,"Computer, Internet, Microsoft Excel 2016 or above, A second monitor or the ability to split-screen or toggle between multiple programs (Zoom and Excel)","Abide by Do Space's Behavioral policy & code of conduct, Attend each meetup during my session on Tuesdays from 11:00am-1:00pm, Complete all necessary work between each session, Be an attentive and engaged participant",,"Black, non-Hispanic",Male,Associate's Degree or Similar 2-Year College Degree,,,,,
,lily.aldrin @example.com,Lily Aldrin,Yes,,Yes,"Computer, Internet","Abide by Do Space's Behavioral policy & code of conduct, Attend each meetup during my session on Tuesdays from 11:00am-1:00pm, Complete all necessary work between each session, Be an attentive and engaged participant",,Hispanic/Latino,Female,Some College but no degree,,"$20,000 to $34,999",,,
,marshall.eriksen @example.com,Marshall Eriksen,Yes,,Yes,"Computer, Internet","Abide by Do Space's Behavioral policy & code of conduct, Attend each meetup during my session on Tuesdays from 11:00am-1:00pm, Complete all necessary work between each session, Be an attentive and engaged participant",,"White, non-Hispanic",Female,Bachelor's Degree,,"$35,000 to $49,999",,,
,marty.byrde @example.com,Marty Byrde,Yes,,Yes,"Computer, Internet, Microsoft Excel 2016 or above","Abide by Do Space's Behavioral policy & code of conduct, Attend each meetup during my session on Tuesdays from 11:00am-1:00pm, Complete all necessary work between each session, Be an attentive and engaged participant",,,Female,Some College but no degree,,"$35,000 to $49,999",,,
,wendy.byrde @example.com,Wendy Byrde,Yes,,Yes,Computer,"Abide by Do Space's Behavioral policy & code of conduct, Attend each meetup during my session on Tuesdays from 11:00am-1:00pm, Complete all necessary work between each session, Be an attentive and engaged participant",,,Female,Bachelor's Degree,,"$50,000 to $74,999",,,
,ruth.langmore @example.com,Ruth Langmore,Yes,,Yes,"Computer, Internet, Microsoft Excel 2016 or above","Abide by Do Space's Behavioral policy & code of conduct, Attend each meetup during my session on Tuesdays from 11:00am-1:00pm, Complete all necessary work between each session, Be an attentive and engaged participant",,"White, non-Hispanic",Male,"Professional (JD, Ed.D) or Doctorate Degree (Ph.D., PsyD.)",,"$75,000 to $99,999",,,
